software,Link,Description,Year,Last Modified,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/851187/apache-does-not-listen-to-specified-port,Apache does not listen to specified port,2017,2017,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/873958/iis-hosted-wcf-service-accessible-from-one-domain-but-not-the-other,IIS hosted WCF service accessible from one domain but not the other,2017,2017,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/229202/apache2-mod-proxy-in-conjuction-with-mod-rewrite-not-working-as-expected,apache2 mod_proxy in conjuction with mod_rewrite not working as expected,2011,2012,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/233607/php-ini-does-not-load,PHP.ini does not load,2011,2011,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/414411/session-cache-is-not-configured-why,Session Cache is not configured… why?,2012,2021,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/431832/why-am-i-getting-network-error-403-forbidden-in-firebug-for-files-i-am-not-tryi,Why am I getting Network error: 403 Forbidden in firebug for files I am not trying to access?,2012,2016,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/440728/unable-to-upload-to-tmp-directory,Unable to upload to tmp directory,2012,2012,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/893537/could-be-directory-index-forbidden-by-options-directive-the-cause-for-request,Could be “Directory index forbidden by Options directive” the cause for “Request exceeded the limit of 10 internal redirects”?,2018,2018,,,,,,,,,,,,,,
Apache httpd,https://stackoverflow.com/questions/119336,ssl_error_rx_record_too_long and Apache SSL [closed],2008,2022,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/105670/xampp-apache-server-not-working-on-internal-network,xampp apache server not working on internal network,2010,2010,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/356391/setting-up-virtualhost-on-osx-10-7-lion,setting up virtualhost on osx 10 7 lion,2012,2012,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/1052301/apache-2-4-ignores-mod-proxy,Apache 2.4 ignores mod_proxy?,2021,2021,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/18789/ssl-error-handshake-failure-alert-with-commercial-ca-based-client-certificate,ssl_error_handshake_failure_alert with Commercial CA-based client certificate,2009,2010,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/216771/apache-named-virtual-hosts-and-https,apache named virtual hosts and https,2010,2010,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/218961/mindtouch-broke-my-apache2-virtual-host-configuration,mindtouch broke my apache2 virtual host configuration,2011,2011,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/362182/changing-the-default-apache-port-doesnt-work,changing the default apache port doesnt work,2012,2019,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/562100/ubuntu-12-04-vhost-page-not-found,ubuntu 12 04 vhost page not found,2013,2013,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/22869/have-i-messed-up-buying-the-wrong-ssl-certificate-for-my-domain,Have I messed up buying the wrong SSL certificate for my domain?,2009,2010,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/768633/apache-virtualhost-configuration-wont-get-matched,Apache VirtualHost configuration won't get matched,2016,2016,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/929391/ubuntu-define-correct-virtual-host-on-81-port,Ubuntu define incorrect virtual host on :81 port,2018,2018,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/115183/ubuntu-server-mod-chroot-apache2-problem,ubuntu server mod chroot apache2 problem,2010,2010,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/342322/why-isnt-excluding-a-folder-in-mod-rewrite-not-taken-in-account,why isnt excluding a folder in mod rewrite not taken in account,2011,2011,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/76222/apache-not-letting-me-into-a-folder,apache not letting me into a folder,2009,2009,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/599055/permissions-denied-on-apache-rewrite-module-virtual-host-configuration,"keep getting ""Permissions denied"" on apache 2 virtualhost once we moved it to its own conf file",2014,2018,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/1017781/every-apache-request-returns-a-ah01797-error,Every Apache request returns a AH01797 error,2020,2020,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/1018387/apache-reverse-proxy-503-custom-page-not-working,Apache reverse proxy 503 custom page not working,2020,2020,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/22369/what-should-the-django-settings-module-be-set-to-in-apache-when-deploying-a-djan,What should the DJANGO_SETTINGS_MODULE be set to in Apache when deploying a django app?,2009,2009,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/258848/i-cant-get-ruby-on-rails-passenger-apache-to-work,Can't Get Ruby on Rails + Passenger + Apache to Work,2011,2012,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/446510/apache-php-via-fastcgi,The requested URL was not found on this server,2012,2012,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/722904/apache-vhost-ah01630-client-denied-by-server-configuration,Apache vhost AH01630: client denied by server configuration,2015,2015,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/800102/error-using-mod-jk-in-httpd-undefined-symbol-ap-get-server-version,Error using mod_jk in httpd: undefined symbol: ap_get_server_version,2016,2024,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/101164/apache2-could-not-reliably-determine-the-servers-fully-qualified-domain-name,apache2: Could not reliably determine the server's fully qualified domain name,2010,2012,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/599055/permissions-denied-on-apache-rewrite-module-virtual-host-configuration?r=SearchResults,Permissions denied on apache rewrite module virtual host configuration,2014,2018,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/830373/apache-wont-reload-and-apachectl-s-t-doesnt-display-anything,"Apache won't reload, and apachectl -S / -t doesn't display anything",2017,2017,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/98055/django-could-not-import-settings-settings-py-error,Django “Could not import settings 'settings.py'” error,2009,2009,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/499941/svn-repository-moved-permanently-error-apache-configuration-issue,svn repository was moved permanently,2013,2013,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/51824229/hadoop-fs-ls-call-from-server-127-0-1-1-to-localhost-failed/51968483#51968483,hadoop fs -ls : Call From server/127.0.1.1 to localhost failed,2018,2018,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/28702100/apache-oozie-failed-loading-sharelib/31193378#31193378,Apache Oozie failed loading ShareLib,2015,2016,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/36753546/spark-job-running-on-yarn-cluster-java-io-filenotfoundexception-file-does-not-e/36776378#36776378,"Spark Job running on Yarn Cluster java.io.FileNotFoundException: File does not exits, eventhough the file exits on the master node",2016,2018,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/47886832/sparkr-error-the-root-scratch-dir-tmp-hive-on-hdfs-should-be-writable/47906716#47906716,SparkR Error: The root scratch dir: /tmp/hive on HDFS should be writable,2017,2017,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/48104900/streamsets-mapr-fs-origin-dest-kerberosprincipal-exception-using-hadoop-impers/48157362#48157362,Streamsets Mapr FS origin/dest. KerberosPrincipal exception (using hadoop impersonation (in mapr 6.0)),2018,2018,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/17827293/error-on-starting-hdfs-daemons-on-hadoop-multinode-cluster/17829408#17829408,Error on starting HDFS daemons on hadoop Multinode cluster,2013,2013,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/27161854,Why does Jenkins complain that my reverse proxy setup is broken?,2014,2023,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/38183737,Tomcat7 + Maven plugin: Tomcat will not start with my war,2016,2017,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/19733116,log4j xml configuration error,2013,2013,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/1348842,What should I set JAVA_HOME environment variable on macOS X 10.6?,2009,2023,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/108741/problems-configuring-mysql-on-ubuntu-for-remote-access,problems configuring mysql on ubuntu for remote access,2010,2010,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/249529/how-to-access-remotly-to-a-mysql-server,how to access remotly to a mysql server,2011,2011,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/416570/mysqld-job-failed-to-start,mysqld job failed to start,2012,2012,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/505682/django-cant-connect-to-local-mysql-server-through-socket,django cant connect to local mysql server through socket,2013,2013,,,,,,,,,,,,,,
MySQL,http://stackoverflow.com/questions/5737089/two-mysql-servers,Two MySQL servers,2011,2014,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/143373/cant-connect-to-local-mysql-server-through-socket,cant connect to local mysql server through socket,2010,2010,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/221566/mysql-command-line-not-working,mysql command line not working,2011,2011,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/300935/how-to-make-mysql-to-find-old-databases-on-hdd,how to make mysql to find old databases on hdd,2011,2012,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/323175/cant-start-mysqld-on-centos5-after-attempting-to-upgrade-to-php-5-3,cant start mysqld on centos5 after attempting to upgrade to php 5 3,2011,2011,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/420285/error-running-mysql-daemon,error running mysql daemon,2012,2012,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/503453/cant-start-mysql-5-6-server-after-computer-is-restarted,cant start mysql 5 6 server after computer is restarted,2013,2014,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/516934/after-installing-mysql-5-6-the-server-cant-start,after installing mysql 5 6 the server cant start,2013,2018,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/537553/mariadb-galera-clustering-active-active-operation-not-permitted-error,mariadb galera clustering active active operation not permitted error,2013,2013,,,,,,,,,,,,,,
MySQL,http://stackoverflow.com/questions/12944386/mysql-not-working,mysql not working,2012,2012,,,,,,,,,,,,,,
MySQL,https://serverfault.com/questions/362595/mysql-bind-on-unix-socket-permission-denied,mysql bind on unix socket permission denied,2012,2019,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/37134810/nginx-configuration-throws-500-internal-server-error,Nginx Configuration throws 500 Internal Server Error,2016,2016,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/505173/cannot-hit-nginx-from-outside-localhost,Cannot hit nginx from outside localhost,2013,2013,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/823723/nginx-php-fpm-permission-denied-while-connecting-to-upstream,nginx php-fpm: Permission denied while connecting to upstream,2017,2017,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/217426/nginx-not-working-properly-on-subdomains,Nginx not working properly on subdomains,2010,2015,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/240743/nginx-cant-load-images-css-js,"nginx can't load images,css,js",2011,2011,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/320529/php-pages-in-a-nginx-php-fpm-server-doesnt-load,php pages in a nginx + php-fpm server doesn't load,2011,2011,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/388835/svn-using-nginx-commit-failed-path-not-found,svn using nginx Commit failed: path not found,2012,2012,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/455299/passengermod-rails-fails-to-start-puppet-master-under-nginx,passenger(mod_rails) fails to start puppet master under nginx,2012,2015,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/463674/a-complicated-nginx-php-fpm-chroot-setup,A complicated nginx/php-fpm chroot setup,2013,2014,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/557021/why-do-i-get-a-404-for-my-index-page-in-my-http-https-nginx-setup,Why do I get a 404 for my index.page in my http/https nginx setup?,2013,2013,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/578869/alias-directive-with-nested-location-to-catch-php-files-requests-for-php-files,alias directive with nested location to catch php files - requests for php files giving 404,2014,2014,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/669486/using-fastcgi-split-path-info-for-a-userdir-in-nginx,Using fastcgi_split_path_info for a userdir in nginx,2015,2015,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/737823/bizarre-404-on-nginx/782697#782697,bizarre 404 on nginx,2015,2016,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/946614/502-bad-gateway-because-of-undefined-index,502 bad gateway because of Undefined Index?,2018,2018,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/952225/specify-directory-location-for-sub-domain-in-nginx-for-cacti,Specify directory location for sub domain in nginx for cacti,2019,2019,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/688409/nginx-1-8-configuration-problems,Nginx 1.8 Configuration Problems,2015,2015,,,,,,,,,,,,,,
Others,https://serverfault.com/questions/628340/postfix-config-and-php,PostFix Config and PHP,2014,2014,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/29756194,Access denied for user 'homestead'@'localhost' (using password: YES)Access denied for user 'homestead'@'localhost' (using password: YES),2015,2024,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/492843/nginx-php-fpm-on-diff-server-bad-gateway-and-security-too,"nginx, php-fpm on diff server bad gateway (and security too)",2013,2013,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/604990/getting-multiple-pools-working-using-php-fpm-and-apache-2-4,Getting multiple pools working using PHP-FPM and Apache 2.4,2014,2016,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/279133/phpmyadmin-file-could-not-be-read,phpMyAdmin File Could Not Be Read,2011,2012,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/501258/php-fpm-gives-permission-denied,PHP FPM gives permission denied?,2013,2020,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/767390/php-5-6-broken-after-trying-to-upgrade-to-php-7,PHP 5.6 Broken after trying to upgrade to PHP 7,2016,2016,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/949851/how-to-fix-phpmyadmin-with-php-7-2-on-rhel7,How to fix phpMyAdmin with PHP 7.2 on RHEL7?,2019,2019,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/37612800/postgresql-connection-timed-out-operationalerror-on-django-and-new-server/37614370#37614370,PostgreSQL Connection Timed Out OperationalError on Django and new server,2016,2016,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/30714334/remote-connection-issues-with-psycopg2-and-postgresql/30722698#30722698,Remote connection issues with psycopg2 and postgresql,2015,2015,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/38254632/an-error-with-psycopg2-while-trying-to-connect-to-a-remote-host-server/38255495#38255495,An error with psycopg2 while trying to connect to a remote host server,2016,2016,,,,,,,,,,,,,,
PostgreSQL,https://serverfault.com/questions/543852/change-and-initialize-postgresql-9-3-default-data-and-log-directories-on-ubuntu/544243#544243,Change and initialize Postgresql 9.3 default data and log directories on Ubuntu 12.04 LTS,2013,2015,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/63501885/cant-connect-to-postgres-via-psql-or-php-only-pgadmin4/63502635#63502635,"Can't connect to postgres via PSQL or php, only pgAdmin4",2020,2020,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/61937633/failed-to-connect-to-the-database-postgres-by-jmeter/61938261#61938261,Failed to connect to the database (Postgres) by Jmeter,2020,2020,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/22469188/deepdive-installation-postgresql-error/22472911#22472911,"Deepdive installation, PostgreSQL error",2014,2014,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/51346686/odoo-database-export-error/51347254#51347254,Odoo Database Export Error,2018,2018,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/22364840/pgadmin-iii-access-to-database-denied/22365336#22365336,pgAdmin III: Access to database denied,2014,2014,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/44000579/how-to-connect-to-postgresql-from-phoenix-web-app-via-ssl/45096330#45096330,How to connect to PostgreSQL from Phoenix Web App via SSL?,2017,2021,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/43836908/mapreduce-doesnt-produce-an-output/43841386#43841386,MapReduce doesn't produce an output,2017,2017,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/53173738,Nginx configuration errors,2018,2018,,,,,,,,,,,,,,
MySQL,https://forum.directadmin.com/threads/mysql-log-slow-queries.47547/,Mysql --log-slow-queries,2013,2013,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/418101/apache-client-denied-by-server-configuration-despite-allowing-access-to-direc,Client denied by server configuration: /home/remix/,2012,2020,,,,,,,,,,,,,,
Apache httpd,https://stackoverflow.com/questions/28251219,PHP running from Apache cannot write to filesystem,2015,2017,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/304648/mysql-and-multi-core-processors,MySQL and Multi-Core processors,2011,2011,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/41526546/vagrant-how-to-access-guests-postgres-server-from-host/41527398#41527398,Vagrant - How to access guests postgres server from host,2017,2020,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/16637492,MySQl Configuration Error After reinstall it,2013,2013,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/851187/apache-does-not-listen-to-specified-port,Apache does not listen to specified port,2017,2017,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/36473479,How to set the PATH environment variable in Jenkins configuration on Windows?,2016,2023,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/74942002,connect mysql instance using auth proxy（should set private ip）,2022,2022,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/74808107,"bind-address in the configuration file, if it set to it will allow only localhost login.127.0.0.1 （wrong ip）",2022,2022,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/74677369/,refer to host's localhost via .host.docker.internal,2022,2022,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/74420726/,port was occupied,2022,2022,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/74416286,enabling SSL/TLS on server,2022,2022,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/74291717,have to give it privileges to connect to that database,2022,2022,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/74267253,wrong URL,2022,2022,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/74072585,Integrated Security=true;,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/72855671,a listener for example.net,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/74238832,add server_name on the listen 80 of both blocks  conflict server name,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/72735826/,wrong path,2022,2022,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/72433208,"change home path, version of apache 2.2",2022,2022,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/72347049," PHP settings for mysqli have the same settings with unix, upgrade from 10.5 to 10.6",2022,2022,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/72204502/,internal container communication with another port,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/71475528/,wrong path,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/74927448, typo in the URL,2022,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/74770177/,wrong URL,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/73462828,server_name should not have ports,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/73184948, listening on 443 is forwarding the request back to 80 using proxy_pass,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/72129793,Your Ingress points at port 8080 but Service exposes port 80,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/71907762,wrong URL（https？）,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/70887445,wrong path,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/70886968,server_name directives to include the private ip address,2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/70848961, whitelist the API server IP address on the database firewall configuration,2022,2022,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/74599960,same port,2022,2022,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/74168669/,wrong url,2022,2023,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/72641565,wrong port,2022,2022,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/73994207,wrong port,2022,2022,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/73027504/,wrong path,2022,2022,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/1106440/,wrong url,2022,2022,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/1115189,another config file that had port 80 listening on ssl,2022,2022,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/1114355/,"contain the domain name of your service, not IP address.",2022,2022,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/77487145,Nginx and Apache HTTPD servers by default listen on the standard HTTP port 80,2023,2023,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/75858617,the account of windows current user name having a space,2023,2023,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/77125520,wrong container name,2023,2023,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/76735281,one port shared by two software,2023,2023,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/75602385,wrong port,2023,2023,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/75468567,memory limit,2023,2023,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/75019943,wrong port,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/77038929,wrong identifier name,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/77579760,redundant trailing slash for 502,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/77482842,https and http should listen to different port,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/77379141,proxy_pass do not point correct container,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/77317363,the host name do not exist,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/77163428,"two containers, both are listening to port 8080 internally",2023,2023,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/77157071,cache configuration in the application itself,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/76948179,wrong path,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/76956106,wrong path,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/76841799,wrong path,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/76448293,environment variable PUBLIC_URL was not defined to / ,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/76259258/,https and http should listen to different port,2023,2024,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/76150479,wrong port,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/75982950/,https and http should listen to different port,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/75964831/,wrong user name,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/75467251/,with a trailing slash) in proxy_pass,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/75407845/,IP not localhost name,2023,2023,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/76315492,path incomplete,2023,2023,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/77003286,wrong path,2023,2023,,,,,,,,,,,,,,
PHP,https://stackoverflow.com/questions/76486691/,wrong path,2023,2023,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/1140703,missing the leading /,2023,2023,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/1128178/,wrong IP,2023,2023,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/1120197/,listen 2 port for nginx,2023,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/76853418,set the wrong port,2023,2023,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/77635478,set the wrong port,2023,2023,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/77323506,set the wrong port,2023,2023,,,,,,,,,,,,,,
MySQL,https://dba.stackexchange.com/questions/25165/intermittent-mysql-crashes-with-error-fatal-error-cannot-allocate-memory-for-t,"intermittent MySQL crashes with error ""Fatal error: cannot allocate memory for the buffer pool""",2012,2015,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/1068250/apache-reverse-proxy-not-working-and-generates-a-404-error,Apache reverse proxy not working and generates a 404 error,2021,2021,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/77449386,wrong configuration file format,2023,2023,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/6174500,Log4j appenders for spring DependencyInjectionTestExecutionListener,2011,2011,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/932600/nginx-proxy-configuration-error-crit-pread,Nginx proxy configuration error: [crit] pread(),2018,2018,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/22743582,Error: Configuration with name 'default' not found in Android Studio,2014,2018,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/474116/mysql-error-1429-federation,mysql error 1429 federation,2013,2013,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/453729/periodic-mysql-lockup-when-wordpress-is-under-heavy-load,periodic mysql lockup when wordpress is under heavy load,2012,2012,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/410725/php-fpm-and-continuos-exited-on-signal-11,PHP-FPM and continuos “exited on signal 11”，PHP 5.3.14 has a serious bug,2012,2017,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/974404/cant-get-php-fpm-working-so-that-multiple-versions-of-php-can-be-used,Can't get PHP-FPM working so that multiple versions of php can be used,2019,2019,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/586731/apache-fails-to-start-after-php-upgrade-on-centos-6-5-x64,Apache fails to start after PHP upgrade on CentOS 6.5 x64,2014,2014,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/772298/configuring-apache2-mpm-worker-with-php5,Configuring apache2-mpm-worker with php5,2016,2016,,,,,,,,,,,,,,
Others,https://serverfault.com/questions/559634/on-aws-why-does-internal-dns-lookup-for-rds-fail-in-php-page,On AWS why does internal DNS lookup for RDS fail in PHP page?,2013,2013,,,,,,,,,,,,,,
Others,https://issues.apache.org/jira/browse/HBASE-13200/,Improper configuration can leads to endless lease recovery during failover,2015,2015,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/58113282,How to fix NullPointerException when getting current Hibernate Session,2019,2019,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/37936038,"Getting ""project"" nuget configuration is invalid error",2016,2020,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/2231031,Spring Web flow configuration error,2010,2010,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/266601,Spring configuration error,2008,2010,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/2006402,Compiling CUDA examples gives build error,2010,2016,,,,,,,,,,,,,,
